id,firstname,surname,birth_date,death_date,born_country,born_country_code,born_city,died_country,died_country_code,died_city,gender,award_year,category,overall_motivation,share,motivation,name,city,country,birth_year,age_at_award,decade,motivation_clean
390,Marshall W.,Nirenberg,1927-04-10,2010-01-15,USA,US,New York NY,USA,US,New York NY,Male,1968,Medicine,,3,"""for their interpretation of the genetic code and its function in protein synthesis""",National Institutes of Health,Bethesda MD,USA,1927,41,1960,for their interpretation of the genetic code and its function in protein synthesis
391,Max,Delbrück,1906-09-04,1981-03-09,Germany,DE,Berlin,USA,US,Pasadena CA,Male,1969,Medicine,,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",California Institute of Technology (Caltech),Pasadena CA,USA,1906,63,1960,for their discoveries concerning the replication mechanism and the genetic structure of viruses
392,Alfred D.,Hershey,1908-12-04,1997-05-22,USA,US,Owosso MI,USA,US,Syosset NY,Male,1969,Medicine,,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Carnegie Institution of Washington,Long Island New York NY,USA,1908,61,1960,for their discoveries concerning the replication mechanism and the genetic structure of viruses
393,Salvador E.,Luria,1912-08-13,1991-02-06,Italy,IT,Turin,USA,US,Lexington MA,Male,1969,Medicine,,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1912,57,1960,for their discoveries concerning the replication mechanism and the genetic structure of viruses
394,Sir Bernard,Katz,1911-03-26,2003-04-20,Germany,DE,Leipzig,United Kingdom,GB,London,Male,1970,Medicine,,3,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",University College,London,United Kingdom,1911,59,1970,for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation
395,Ulf,von Euler,1905-02-07,1983-03-09,Sweden,SE,Stockholm,Sweden,SE,Stockholm,Male,1970,Medicine,,3,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",Karolinska Institutet,Stockholm,Sweden,1905,65,1970,for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation
396,Julius,Axelrod,1912-05-30,2004-12-29,USA,US,New York NY,USA,US,Rockville MD,Male,1970,Medicine,,3,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",National Institutes of Health,Bethesda MD,USA,1912,58,1970,for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation
397,Earl W.,Sutherland Jr.,1915-11-19,1974-03-09,USA,US,Burlingame KS,USA,US,Miami FL,Male,1971,Medicine,,1,"""for his discoveries concerning the mechanisms of the action of hormones""",Vanderbilt University,Nashville TN,USA,1915,56,1970,for his discoveries concerning the mechanisms of the action of hormones
398,Gerald M.,Edelman,1929-07-01,2014-05-17,USA,US,New York NY,USA,US,La Jolla CA,Male,1972,Medicine,,2,"""for their discoveries concerning the chemical structure of antibodies""",Rockefeller University,New York NY,USA,1929,43,1970,for their discoveries concerning the chemical structure of antibodies
399,Rodney R.,Porter,1917-10-08,1985-09-06,United Kingdom,GB,Newton-le-Willows,United Kingdom,GB,Winchester,Male,1972,Medicine,,2,"""for their discoveries concerning the chemical structure of antibodies""",University of Oxford,Oxford,United Kingdom,1917,55,1970,for their discoveries concerning the chemical structure of antibodies
400,Karl,von Frisch,1886-11-20,1982-06-12,Austria,AT,Vienna,West Germany (now Germany),DE,Munich,Male,1973,Medicine,,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Zoologisches Institut der Universität München,Munich,Germany,1886,87,1970,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
401,Konrad,Lorenz,1903-11-07,1989-02-27,Austria,AT,Vienna,Austria,AT,Vienna,Male,1973,Medicine,,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften Forschungsstelle für Ethologie,Altenberg; Grünau im Almtal,Austria,1903,70,1970,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
402,Nikolaas,Tinbergen,1907-04-15,1988-12-21,the Netherlands,NL,the Hague,United Kingdom,GB,Oxford,Male,1973,Medicine,,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",University of Oxford,Oxford,United Kingdom,1907,66,1970,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
403,Albert,Claude,1898-08-24,1983-05-22,Belgium,BE,Longlier,Belgium,BE,Brussels,Male,1974,Medicine,,3,"""for their discoveries concerning the structural and functional organization of the cell""",Université Catholique de Louvain,Louvain,Belgium,1898,76,1970,for their discoveries concerning the structural and functional organization of the cell
404,Christian,de Duve,1917-10-02,2013-05-04,United Kingdom,GB,Thames Ditton,Belgium,BE,Nethen,Male,1974,Medicine,,3,"""for their discoveries concerning the structural and functional organization of the cell""",Rockefeller University,New York NY,USA,1917,57,1970,for their discoveries concerning the structural and functional organization of the cell
405,George E.,Palade,1912-11-19,2008-10-07,Romania,RO,Iasi,USA,US,Del Mar CA,Male,1974,Medicine,,3,"""for their discoveries concerning the structural and functional organization of the cell""",Yale University School of Medicine,New Haven CT,USA,1912,62,1970,for their discoveries concerning the structural and functional organization of the cell
406,David,Baltimore,1938-03-07,,USA,US,New York NY,,,,Male,1975,Medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1938,37,1970,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
407,Renato,Dulbecco,1914-02-22,2012-02-19,Italy,IT,Catanzaro,USA,US,La Jolla CA,Male,1975,Medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Imperial Cancer Research Fund Laboratory,London,United Kingdom,1914,61,1970,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
408,Howard M.,Temin,1934-12-10,1994-02-09,USA,US,Philadelphia PA,USA,US,Madison WI,Male,1975,Medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",University of Wisconsin,Madison WI,USA,1934,41,1970,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
409,Baruch S.,Blumberg,1925-07-28,2011-04-05,USA,US,New York NY,USA,US,Moffett Field CA,Male,1976,Medicine,,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",The Institute for Cancer Research,Philadelphia PA,USA,1925,51,1970,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
410,D. Carleton,Gajdusek,1923-09-09,2008-12-12,USA,US,Yonkers NY,Norway,NO,Tromsø,Male,1976,Medicine,,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",National Institutes of Health,Bethesda MD,USA,1923,53,1970,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
411,Roger,Guillemin,1924-01-11,,France,FR,Dijon,,,,Male,1977,Medicine,,4,"""for their discoveries concerning the peptide hormone production of the brain""",The Salk Institute,San Diego CA,USA,1924,53,1970,for their discoveries concerning the peptide hormone production of the brain
412,Andrew V.,Schally,1926-11-30,,Poland (now Lithuania),LT,Wilno (now Vilnius),,,,Male,1977,Medicine,,4,"""for their discoveries concerning the peptide hormone production of the brain""",Veterans Administration Hospital,New Orleans LA,USA,1926,51,1970,for their discoveries concerning the peptide hormone production of the brain
413,Rosalyn,Yalow,1921-07-19,2011-05-30,USA,US,New York NY,USA,US,New York NY,Female,1977,Medicine,,2,"""for the development of radioimmunoassays of peptide hormones""",Veterans Administration Hospital,Bronx NY,USA,1921,56,1970,for the development of radioimmunoassays of peptide hormones
414,Werner,Arber,1929-06-03,,Switzerland,CH,Gränichen,,,,Male,1978,Medicine,,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Biozentrum der Universität,Basel,Switzerland,1929,49,1970,for the discovery of restriction enzymes and their application to problems of molecular genetics
415,Daniel,Nathans,1928-10-30,1999-11-16,USA,US,Wilmington DE,USA,US,Baltimore MD,Male,1978,Medicine,,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Johns Hopkins University School of Medicine,Baltimore MD,USA,1928,50,1970,for the discovery of restriction enzymes and their application to problems of molecular genetics
416,Hamilton O.,Smith,1931-08-23,,USA,US,New York NY,,,,Male,1978,Medicine,,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Johns Hopkins University School of Medicine,Baltimore MD,USA,1931,47,1970,for the discovery of restriction enzymes and their application to problems of molecular genetics
417,Allan M.,Cormack,1924-02-23,1998-05-07,South Africa,ZA,Johannesburg,USA,US,Winchester MA,Male,1979,Medicine,,2,"""for the development of computer assisted tomography""",Tufts University,Medford MA,USA,1924,55,1970,for the development of computer assisted tomography
418,Godfrey N.,Hounsfield,1919-08-28,2004-08-12,United Kingdom,GB,Newark,United Kingdom,GB,Kingston upon Thames,Male,1979,Medicine,,2,"""for the development of computer assisted tomography""",Central Research Laboratories EMI,London,United Kingdom,1919,60,1970,for the development of computer assisted tomography
419,Baruj,Benacerraf,1920-10-29,2011-08-02,Venezuela,VE,Caracas,USA,US,Boston MA,Male,1980,Medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Harvard Medical School,Boston MA,USA,1920,60,1980,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
420,Jean,Dausset,1916-10-19,2009-06-06,France,FR,Toulouse,Spain,ES,Palma Majorca,Male,1980,Medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Université de Paris Laboratoire Immuno-Hématologie,Paris,France,1916,64,1980,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
421,George D.,Snell,1903-12-19,1996-06-06,USA,US,Bradford MA,USA,US,Bar Harbor ME,Male,1980,Medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Jackson Laboratory,Bar Harbor ME,USA,1903,77,1980,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
422,Roger W.,Sperry,1913-08-20,1994-04-17,USA,US,Hartford CT,USA,US,Pasadena CA,Male,1981,Medicine,,2,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",California Institute of Technology (Caltech),Pasadena CA,USA,1913,68,1980,for his discoveries concerning the functional specialization of the cerebral hemispheres
423,David H.,Hubel,1926-02-27,2013-09-22,Canada,CA,Windsor ON,USA,US,Lincoln MA,Male,1981,Medicine,,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,Boston MA,USA,1926,55,1980,for their discoveries concerning information processing in the visual system
424,Torsten N.,Wiesel,1924-06-03,,Sweden,SE,Uppsala,,,,Male,1981,Medicine,,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,Boston MA,USA,1924,57,1980,for their discoveries concerning information processing in the visual system
425,Sune K.,Bergström,1916-01-10,2004-08-15,Sweden,SE,Stockholm,Sweden,SE,Stockholm,Male,1982,Medicine,,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",Karolinska Institutet,Stockholm,Sweden,1916,66,1980,for their discoveries concerning prostaglandins and related biologically active substances
426,Bengt I.,Samuelsson,1934-05-21,,Sweden,SE,Halmstad,,,,Male,1982,Medicine,,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",Karolinska Institutet,Stockholm,Sweden,1934,48,1980,for their discoveries concerning prostaglandins and related biologically active substances
427,John R.,Vane,1927-03-29,2004-11-19,United Kingdom,GB,Tardebigg,United Kingdom,GB,Farnborough,Male,1982,Medicine,,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",The Wellcome Research Laboratories,Beckenham,United Kingdom,1927,55,1980,for their discoveries concerning prostaglandins and related biologically active substances
428,Barbara,McClintock,1902-06-16,1992-09-02,USA,US,Hartford CT,USA,US,Huntington NY,Female,1983,Medicine,,1,"""for her discovery of mobile genetic elements""",Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,1902,81,1980,for her discovery of mobile genetic elements
429,Niels K.,Jerne,1911-12-23,1994-10-07,United Kingdom,GB,London,France,FR,Castillon-du-Gard,Male,1984,Medicine,,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Basel Institute for Immunology,Basel,Switzerland,1911,73,1980,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
430,Georges J.F.,Köhler,1946-04-17,1995-03-01,Germany,DE,Munich,Germany,DE,Freiburg im Breisgau,Male,1984,Medicine,,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Basel Institute for Immunology,Basel,Switzerland,1946,38,1980,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
431,César,Milstein,1927-10-08,2002-03-24,Argentina,AR,Bahia Blanca,United Kingdom,GB,Cambridge,Male,1984,Medicine,,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1927,57,1980,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
432,Michael S.,Brown,1941-04-13,,USA,US,New York NY,,,,Male,1985,Medicine,,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1941,44,1980,for their discoveries concerning the regulation of cholesterol metabolism
433,Joseph L.,Goldstein,1940-04-18,,USA,US,Sumter SC,,,,Male,1985,Medicine,,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1940,45,1980,for their discoveries concerning the regulation of cholesterol metabolism
434,Stanley,Cohen,1922-11-17,2020-02-05,USA,US,Brooklyn NY,USA,US,Nashville TN,Male,1986,Medicine,,2,"""for their discoveries of growth factors""",Vanderbilt University School of Medicine,Nashville TN,USA,1922,64,1980,for their discoveries of growth factors
435,Rita,Levi-Montalcini,1909-04-22,2012-12-30,Italy,IT,Turin,Italy,IT,Rome,Female,1986,Medicine,,2,"""for their discoveries of growth factors""",Institute of Cell Biology of the C.N.R.,Rome,Italy,1909,77,1980,for their discoveries of growth factors
436,Susumu,Tonegawa,1939-09-05,,Japan,JP,Nagoya,,,,Male,1987,Medicine,,1,"""for his discovery of the genetic principle for generation of antibody diversity""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1939,48,1980,for his discovery of the genetic principle for generation of antibody diversity
437,Sir James W.,Black,1924-06-14,2010-03-21,Scotland,GB,Uddingston,,,,Male,1988,Medicine,,3,"""for their discoveries of important principles for drug treatment""",London University King's College Hospital Medical School,London,United Kingdom,1924,64,1980,for their discoveries of important principles for drug treatment
438,Gertrude B.,Elion,1918-01-23,1999-02-21,USA,US,New York NY,USA,US,Chapel Hill NC,Female,1988,Medicine,,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,Research Triangle Park NC,USA,1918,70,1980,for their discoveries of important principles for drug treatment
439,George H.,Hitchings,1905-04-18,1998-02-27,USA,US,Hoquiam WA,USA,US,Chapel Hill NC,Male,1988,Medicine,,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,Research Triangle Park NC,USA,1905,83,1980,for their discoveries of important principles for drug treatment
440,J. Michael,Bishop,1936-02-22,,USA,US,York PA,,,,Male,1989,Medicine,,2,"""for their discovery of the cellular origin of retroviral oncogenes""",University of California School of Medicine,San Francisco CA,USA,1936,53,1980,for their discovery of the cellular origin of retroviral oncogenes
441,Harold E.,Varmus,1939-12-18,,USA,US,Oceanside NY,,,,Male,1989,Medicine,,2,"""for their discovery of the cellular origin of retroviral oncogenes""",University of California School of Medicine,San Francisco CA,USA,1939,50,1980,for their discovery of the cellular origin of retroviral oncogenes
442,Joseph E.,Murray,1919-04-01,2012-11-26,USA,US,Milford MA,USA,US,Boston MA,Male,1990,Medicine,,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Brigham and Women's Hospital,Boston MA,USA,1919,71,1990,for their discoveries concerning organ and cell transplantation in the treatment of human disease
443,E. Donnall,Thomas,1920-03-15,2012-10-20,USA,US,Mart TX,USA,US,Seattle WA,Male,1990,Medicine,,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Fred Hutchinson Cancer Research Center,Seattle WA,USA,1920,70,1990,for their discoveries concerning organ and cell transplantation in the treatment of human disease
444,Erwin,Neher,1944-03-20,,Germany,DE,Landsberg,,,,Male,1991,Medicine,,2,"""for their discoveries concerning the function of single ion channels in cells""",Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Germany,1944,47,1990,for their discoveries concerning the function of single ion channels in cells
445,Bert,Sakmann,1942-06-12,,Germany,DE,Stuttgart,,,,Male,1991,Medicine,,2,"""for their discoveries concerning the function of single ion channels in cells""",Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,1942,49,1990,for their discoveries concerning the function of single ion channels in cells
446,Edmond H.,Fischer,1920-04-06,2021-08-27,China,CN,Shanghai,USA,US,Seattle WA,Male,1992,Medicine,,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,Seattle WA,USA,1920,72,1990,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
447,Edwin G.,Krebs,1918-06-06,2009-12-21,USA,US,Lansing IA,USA,US,Seattle WA,Male,1992,Medicine,,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,Seattle WA,USA,1918,74,1990,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
448,Richard J.,Roberts,1943-09-06,,United Kingdom,GB,Derby,,,,Male,1993,Medicine,,2,"""for their discoveries of split genes""",New England Biolabs,Beverly MA,USA,1943,50,1990,for their discoveries of split genes
449,Phillip A.,Sharp,1944-06-06,,USA,US,Falmouth KY,,,,Male,1993,Medicine,,2,"""for their discoveries of split genes""",Massachusetts Institute of Technology (MIT) Center for Cancer Research,Cambridge MA,USA,1944,49,1990,for their discoveries of split genes
450,Alfred G.,Gilman,1941-07-01,2015-12-23,USA,US,New Haven CT,USA,US,Dallas TX,Male,1994,Medicine,,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1941,53,1990,for their discovery of g proteins and the role of these proteins in signal transduction in cells
451,Martin,Rodbell,1925-12-01,1998-12-07,USA,US,Baltimore MD,USA,US,Chapel Hill NC,Male,1994,Medicine,,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",National Institute of Environmental Health Sciences,Research Triangle Park NC,USA,1925,69,1990,for their discovery of g proteins and the role of these proteins in signal transduction in cells
452,Edward B.,Lewis,1918-05-20,2004-07-21,USA,US,Wilkes-Barre PA,USA,US,Pasadena CA,Male,1995,Medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",California Institute of Technology (Caltech),Pasadena CA,USA,1918,77,1990,for their discoveries concerning the genetic control of early embryonic development
453,Christiane,Nüsslein-Volhard,1942-10-20,,Germany,DE,Magdeburg,,,,Female,1995,Medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Germany,1942,53,1990,for their discoveries concerning the genetic control of early embryonic development
454,Eric F.,Wieschaus,1947-06-08,,USA,US,South Bend IN,,,,Male,1995,Medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",Princeton University,Princeton NJ,USA,1947,48,1990,for their discoveries concerning the genetic control of early embryonic development
455,Peter C.,Doherty,1940-10-15,,Australia,AU,Brisbane,,,,Male,1996,Medicine,,2,"""for their discoveries concerning the specificity of the cell mediated immune defence""",St. Jude Children's Research Hospital,Memphis TN,USA,1940,56,1990,for their discoveries concerning the specificity of the cell mediated immune defence
456,Rolf M.,Zinkernagel,1944-01-06,,Switzerland,CH,Basel,,,,Male,1996,Medicine,,2,"""for their discoveries concerning the specificity of the cell mediated immune defence""",University of Zurich Institute of Experimental Immunology,Zurich,Switzerland,1944,52,1990,for their discoveries concerning the specificity of the cell mediated immune defence
457,Stanley B.,Prusiner,1942-05-28,,USA,US,Des Moines IA,,,,Male,1997,Medicine,,1,"""for his discovery of Prions - a new biological principle of infection""",University of California School of Medicine,San Francisco CA,USA,1942,55,1990,for his discovery of prions a new biological principle of infection
458,Robert F.,Furchgott,1916-06-04,2009-05-19,USA,US,Charleston SC,USA,US,Seattle WA,Male,1998,Medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",SUNY Health Science Center,Brooklyn NY,USA,1916,82,1990,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
459,Louis J.,Ignarro,1941-05-31,,USA,US,Brooklyn NY,,,,Male,1998,Medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of California School of Medicine,Los Angeles CA,USA,1941,57,1990,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
460,Ferid,Murad,1936-09-14,2023-09-04,USA,US,Whiting IN,USA,US,Menlo Park CL,Male,1998,Medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of Texas Medical School at Houston,Houston TX,USA,1936,62,1990,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
461,Günter,Blobel,1936-05-21,2018-02-18,Germany (now Poland),PL,Waltersdorf (now Niegoslawice),USA,US,New York NY,Male,1999,Medicine,,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Rockefeller University,New York NY,USA,1936,63,1990,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
462,Henry,Dunant,1828-05-08,1910-10-30,Switzerland,CH,Geneva,Switzerland,CH,Heiden,Male,1901,Peace,,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",,,,1828,73,1900,for his humanitarian efforts to help wounded soldiers and create international understanding
463,Frédéric,Passy,1822-05-20,1912-06-12,France,FR,Paris,France,FR,Paris,Male,1901,Peace,,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",,,,1822,79,1900,for his lifelong work for international peace conferences diplomacy and arbitration
464,Élie,Ducommun,1833-02-19,1906-12-07,Switzerland,CH,Geneva,Switzerland,CH,Bern,Male,1902,Peace,,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",,,,1833,69,1900,for his untiring and skilful directorship of the bern peace bureau
465,Albert,Gobat,1843-05-21,1914-03-16,Switzerland,CH,Tramelan,Switzerland,CH,Bern,Male,1902,Peace,,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",,,,1843,59,1900,for his eminently practical administration of the inter parliamentary union
466,Randal,Cremer,1828-03-18,1908-07-22,United Kingdom,GB,Fareham,United Kingdom,GB,London,Male,1903,Peace,,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",,,,1828,75,1900,for his longstanding and devoted effort in favour of the ideas of peace and arbitration
468,Bertha,von Suttner,1843-06-09,1914-06-21,Austrian Empire (now Czech Republic),CZ,Prague,Austria,AT,Vienna,Female,1905,Peace,,1,"""for her audacity to oppose the horrors of war""",,,,1843,62,1900,for her audacity to oppose the horrors of war
470,Theodore,Roosevelt,1858-10-27,1919-01-06,USA,US,New York NY,USA,US,Oyster Bay NY,Male,1906,Peace,,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",,,,1858,48,1900,for his role in bringing to an end the bloody war recently waged between two of the world s great powers japan and russia
471,Ernesto Teodoro,Moneta,1833-09-20,1918-02-10,Austrian Empire (now Italy),IT,Milan,Italy,IT,Milan,Male,1907,Peace,,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",,,,1833,74,1900,for his work in the press and in peace meetings both public and private for an understanding between france and italy
472,Louis,Renault,1843-05-21,1918-02-08,France,FR,Autun,France,FR,Barbizon,Male,1907,Peace,,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",Sorbonne University,Paris,France,1843,64,1900,for his decisive influence upon the conduct and outcome of the hague and geneva conferences
473,Klas Pontus,Arnoldson,1844-10-27,1916-02-20,Sweden,SE,Gothenburg,Sweden,SE,Stockholm,Male,1908,Peace,,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",,,,1844,64,1900,for their long time work for the cause of peace as politicians peace society leaders orators and authors
474,Fredrik,Bajer,1837-04-21,1922-01-22,Denmark,DK,Næstved,Denmark,DK,Copenhagen,Male,1908,Peace,,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",,,,1837,71,1900,for their long time work for the cause of peace as politicians peace society leaders orators and authors
475,Auguste,Beernaert,1829-07-26,1912-10-06,Belgium,BE,Ostend,Switzerland,CH,Lucerne,Male,1909,Peace,,2,"""for their prominent position in the international movement for peace and arbitration""",,,,1829,80,1900,for their prominent position in the international movement for peace and arbitration
476,Paul Henri,d'Estournelles de Constant,1852-11-22,1924-05-15,France,FR,La Flèche,France,FR,Paris,Male,1909,Peace,,2,"""for their prominent position in the international movement for peace and arbitration""",,,,1852,57,1900,for their prominent position in the international movement for peace and arbitration
478,Tobias,Asser,1838-04-28,1913-07-29,the Netherlands,NL,Amsterdam,the Netherlands,NL,the Hague,Male,1911,Peace,,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",,,,1838,73,1910,for his role as co founder of the institut de droit international initiator of the conferences on international private law conférences de droit international privé at the hague and pioneer in the field of international legal relations
479,Alfred,Fried,1864-11-11,1921-05-04,Austria,AT,Vienna,Austria,AT,Vienna,Male,1911,Peace,,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",,,,1864,47,1910,for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations
480,Elihu,Root,1845-02-15,1937-02-07,USA,US,Clinton NY,USA,US,New York NY,Male,1912,Peace,,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",,,,1845,67,1910,for bringing about better understanding between the countries of north and south america and initiating important arbitration agreements between the united states and other countries
481,Henri,La Fontaine,1854-04-22,1943-05-14,Belgium,BE,Brussels,Belgium,BE,Brussels,Male,1913,Peace,,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",,,,1854,59,1910,for his unparalleled contribution to the organization of peaceful internationalism
483,Woodrow,Wilson,1856-12-28,1924-02-03,USA,US,Staunton VA,USA,US,Washington D.C.,Male,1919,Peace,,1,"""for his role as founder of the League of Nations""",,,,1856,63,1910,for his role as founder of the league of nations
484,Léon,Bourgeois,1851-05-21,1925-09-29,France,FR,Paris,France,FR,Épernay,Male,1920,Peace,,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",,,,1851,69,1920,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the league of nations
485,Hjalmar,Branting,1860-11-23,1925-02-24,Sweden,SE,Stockholm,Sweden,SE,Stockholm,Male,1921,Peace,,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",,,,1860,61,1920,for their lifelong contributions to the cause of peace and organized internationalism
486,Christian,Lange,1869-09-17,1938-12-11,Norway,NO,Stavanger,Norway,NO,Oslo,Male,1921,Peace,,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",,,,1869,52,1920,for their lifelong contributions to the cause of peace and organized internationalism
487,Fridtjof,Nansen,1861-10-10,1930-05-13,Norway,NO,Kristiania (now Oslo),Norway,NO,Oslo,Male,1922,Peace,,1,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",,,,1861,61,1920,for his leading role in the repatriation of prisoners of war in international relief work and as the league of nations high commissioner for refugees
488,Sir Austen,Chamberlain,1863-10-16,1937-03-16,United Kingdom,GB,Birmingham,United Kingdom,GB,London,Male,1925,Peace,,2,"""for his crucial role in bringing about the Locarno Treaty""",,,,1863,62,1920,for his crucial role in bringing about the locarno treaty
